tube_l,label,tube_r
P0A9S8,1,P0A9S8
K12345,2,K12345
QW8E7R,3,QW8E7R
B0501,4,B0501
J9K0L1,5,J9K0L1
MN4502,6,MN4502
F6G7H8,7,F6G7H8
S2D3F4G5,8,S2D3F4G5
PL09kt,9,PL09kt
CV56lt,10,CV56lt
H7J3K9,11,H7J3K9
W4E3R2T1,12,W4E3R2T1
X9Z8Y7,13,X9Z8Y7
TY12kt,14,TY12kt
QWERlt,15,QWERlt
D4821F,16,D4821F
R2D2X1,17,R2D2X1
A12C9,18,A12C9
BN34kt,19,BN34kt
GH78lt,20,GH78lt
MN45kt,21,MN45kt
LK78lt,22,LK78lt
ZX9012,23,ZX9012
T9X3B1,24,T9X3B1
NOM1B2,25,NOM1B2
L0P9K2,26,L0P9K2
AB12kt,27,AB12kt
ZX90lt,28,ZX90lt
C8V5N4,29,C8V5N4
U1Y2T3,30,U1Y2T3
